-0.0734 0.6304 0.1196 0.4620 -0.2758 -0.1021 -1.1569 -0.0612
-6.5307 -2.6584 0.3827 -4.2224 -5.5309 0.9215 -1.4441 0.2358
-6.2566 -2.6952 0.2670 -4.2691 -4.9660 0.8990 -0.9591 -0.0299
-5.0671 -3.8684 0.6585 -2.1648 -2.5899 -1.7869 -2.7740 -1.8157
-4.2401 -3.7027 0.6398 -1.6866 -1.7767 -1.9223 -2.2938 -1.8326
-2.1692 -6.9120 0.8885 1.1916 3.2371 -6.9185 -4.4320 -5.8503
-1.9994 -3.0288 0.3848 -0.5231 0.1117 -2.1309 -1.4050 -1.8873
-1.2852 -0.2876 0.1579 -0.5984 -1.1197 0.1072 -0.6791 0.0224
0.1419 0.4551 -0.1745 0.1016 -0.2407 0.1021 -0.6738 -0.0306
1.2848 1.7730 0.0057 1.6236 0.5442 -0.2829 -1.8950 -0.1608
3.1164 -0.3616 -0.0061 2.9909 4.0683 -2.7972 -1.2912 -2.1171
4.9518 -3.5517 -0.1307 6.2862 9.0385 -7.7974 -4.1012 -6.2599
5.5659 -0.2292 0.4131 6.4572 7.5792 -5.8351 -4.0192 -4.2965
5.6210 3.1678 -0.4664 3.9465 4.1905 -0.7090 -0.2972 -0.2718
7.0034 0.5970 0.3224 7.5111 8.6717 -6.0400 -4.1195 -4.3688
6.6230 4.4821 -0.5646 5.0450 4.5493 -0.8451 -1.6603 -0.3851
6.6732 5.5011 -0.4403 5.7837 4.2361 -0.9865 -3.3481 -0.4774
6.7095 5.2901 -0.7212 5.3339 4.0969 -0.7592 -2.9840 -0.4455
6.2615 4.0639 -0.5177 4.6935 4.4051 -0.8071 -1.2615 -0.3493
5.6976 3.9473 -0.5563 4.3023 3.7971 -0.6726 -1.5966 -0.3358
4.8910 3.7685 -0.5231 3.8450 3.0273 -0.5520 -2.0335 -0.3186
3.8813 2.2429 -0.4013 2.6562 2.7868 -0.4271 -0.3104 -0.1884
2.7470 2.9147 -0.3757 2.5039 1.2033 -0.2644 -2.5826 -0.2491
1.4673 1.7164 -0.1988 1.4257 0.5715 -0.1484 -1.6443 -0.1456
0.2202 1.1209 -0.2016 0.4745 -0.5137 0.0909 -1.7681 -0.0881
-0.7010 -2.5361 0.3548 0.3533 1.2780 -2.3507 -1.0443 -1.9328
-2.4941 -0.6906 0.2843 -1.2591 -2.1378 0.2311 -1.1077 0.0540
